rank,stop_id,stop_name,lat,lon,trip_occurrences
1,de:02000:91015::910061,Nedderfeld,53.602388,9.962209,646
2,de:02000:91016:1:900007,Siemersplatz,53.59937,9.964226,646
3,de:02000:90017::900066,Brunsberg,53.594075,9.966463,646
4,de:02000:90016::900064,Veilchenweg (Ost),53.588733,9.967882,646
5,de:02000:90011:1:900051,Gärtnerstraße,53.585201,9.968904,646
6,de:02000:90010::900043,Eppendorfer Weg (Ost),53.582176,9.971674,646
7,de:02000:11029::110081,U Hoheluftbrücke,53.57831,9.976208,646
8,de:02000:11028:2:110122,Bezirksamt Eimsbüttel,53.572144,9.978437,646
9,de:02000:11035::110119,Grindelhof,53.567271,9.980755,646
10,de:02000:11021::110115,Universität/Staatsbibliothek,53.56432,9.984265,646
11,de:02000:11022:2:110101,Bf. Dammtor,53.560838,9.990118,646
12,de:02000:11013:2:110065,U Stephansplatz,53.557627,9.988656,646
13,de:02000:11012::110063,U Gänsemarkt,53.555254,9.988767,646
14,de:02000:11020::110066,U S Jungfernstieg,53.553049,9.99288,646
15,de:02000:11003:2:110031,Rathausmarkt,53.550544,9.99436,646
